Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,Carbon Emission (kg/month)
obese,female,vegetarian,daily,natural gas,walk/bicycle,,often,236,frequently,87,extra large,7,2,42,16,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",622.1
obese,female,vegetarian,twice a day,wood,private,hybrid,often,137,rarely,3119,small,2,19,18,2,No,['Metal'],"['Oven', 'Microwave']",995.19
underweight,male,vegetarian,daily,natural gas,private,hybrid,never,79,rarely,4295,extra large,4,20,45,3,Sometimes,['Glass'],['Stove'],1382.85
overweight,male,omnivore,less frequently,natural gas,walk/bicycle,,sometimes,107,frequently,30,extra large,4,5,7,7,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",585.7
normal,male,pescatarian,daily,natural gas,public,,often,201,never,907,medium,4,1,46,12,No,"['Plastic', 'Metal']",['Stove'],472.95
normal,male,vegan,more frequently,coal,public,,often,282,frequently,603,large,7,9,7,0,No,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",509.85
underweight,female,vegetarian,twice a day,wood,private,electric,sometimes,172,very frequently,6993,large,7,20,8,19,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",990.85
obese,male,omnivore,daily,wood,public,,often,260,rarely,1898,small,2,5,27,10,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",588.4
normal,male,vegetarian,twice a day,coal,private,diesel,never,176,never,3044,large,3,13,1,21,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],848.62
normal,female,vegan,daily,electricity,walk/bicycle,,never,82,never,21,large,1,7,16,0,No,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",231.2
obese,male,vegan,less frequently,electricity,public,,never,166,rarely,1195,extra large,1,9,38,8,Yes,['Glass'],[],412.85
underweight,male,vegetarian,daily,coal,walk/bicycle,,often,255,rarely,41,large,2,15,44,7,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",465.5
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,103,very frequently,92,medium,5,8,14,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",626.3
underweight,female,pescatarian,less frequently,natural gas,walk/bicycle,,sometimes,269,frequently,52,large,2,1,36,9,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",555.4
normal,female,omnivore,twice a day,coal,private,electric,sometimes,87,frequently,8454,small,2,21,35,3,Sometimes,"['Paper', 'Plastic']",['Oven'],1067.9
obese,female,pescatarian,less frequently,wood,walk/bicycle,,never,185,rarely,18,large,7,1,33,1,Sometimes,['Metal'],['Microwave'],419
underweight,female,vegan,less frequently,wood,walk/bicycle,,never,190,never,60,small,1,21,44,18,No,"['Paper', 'Plastic']",['Stove'],344.5
normal,female,vegan,more frequently,natural gas,private,hybrid,never,156,frequently,3652,small,4,20,30,13,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1271.52
normal,female,omnivore,more frequently,natural gas,private,electric,never,226,very frequently,7638,small,2,21,33,12,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1197
obese,male,omnivore,daily,electricity,public,,often,59,rarely,715,medium,7,18,6,3,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",484.65
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,142,very frequently,40,small,2,23,29,1,No,"['Paper', 'Glass']","['Oven', 'Microwave']",669.7
normal,female,vegan,more frequently,electricity,public,,never,170,rarely,534,extra large,2,10,7,0,Sometimes,"['Paper', 'Metal']",[],296.2
underweight,female,vegetarian,twice a day,wood,walk/bicycle,,often,137,frequently,2,large,3,2,37,10,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",485.7
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,often,239,very frequently,8,large,3,1,3,16,No,['Glass'],"['Stove', 'Oven', 'Microwave']",592.9
obese,male,vegetarian,daily,coal,private,hybrid,never,257,never,7455,medium,4,0,27,21,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1951.25
normal,male,pescatarian,less frequently,electricity,walk/bicycle,,often,228,never,10,extra large,4,10,26,12,Yes,['Glass'],['Oven'],369.8
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,often,259,frequently,30,medium,6,9,13,12,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",467.4
obese,male,vegetarian,less frequently,natural gas,private,lpg,often,107,very frequently,90,small,1,18,6,15,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",625.14
normal,female,vegan,twice a day,coal,public,,never,83,frequently,118,medium,6,4,32,19,Sometimes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",520.2
overweight,male,vegan,daily,wood,walk/bicycle,,often,94,rarely,2,medium,7,11,3,2,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",285.4
obese,male,pescatarian,twice a day,wood,walk/bicycle,,often,272,frequently,10,large,2,14,13,7,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",464.2
obese,male,pescatarian,less frequently,coal,public,,never,87,frequently,841,extra large,2,11,21,16,No,['Paper'],"['Stove', 'Oven', 'Microwave']",577.75
normal,female,omnivore,more frequently,coal,walk/bicycle,,never,142,rarely,41,large,4,10,15,13,Sometimes,[],"['Oven', 'Grill', 'Airfryer']",537.7
overweight,male,pescatarian,twice a day,natural gas,public,,often,133,never,1263,small,3,7,40,16,Sometimes,[],"['Stove', 'Oven']",484.95
normal,female,omnivore,twice a day,wood,public,,sometimes,136,never,1996,extra large,6,18,31,15,No,"['Paper', 'Metal']","['Stove', 'Microwave']",606.4
underweight,female,omnivore,daily,wood,private,lpg,often,103,rarely,9012,large,2,24,5,0,No,['Glass'],['Microwave'],1930.79
overweight,male,pescatarian,less frequently,wood,public,,sometimes,250,rarely,1315,medium,5,0,49,16,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",523.75
underweight,female,pescatarian,more frequently,coal,public,,often,147,never,697,extra large,3,13,30,21,No,"['Paper', 'Metal']",['Stove'],461.55
obese,male,vegetarian,daily,electricity,private,diesel,sometimes,195,very frequently,8371,small,1,0,18,21,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2025.94
normal,male,vegetarian,less frequently,electricity,walk/bicycle,,often,244,very frequently,25,large,4,0,24,3,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",608.4
obese,male,vegan,less frequently,electricity,public,,never,59,very frequently,307,medium,4,17,42,12,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",659.25
normal,male,omnivore,less frequently,electricity,public,,often,157,very frequently,245,small,4,16,14,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",709.95
normal,male,omnivore,daily,natural gas,public,,often,149,frequently,1694,small,3,5,49,19,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",771.1
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,often,254,never,20,extra large,1,1,48,23,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",444.4
underweight,female,pescatarian,twice a day,coal,private,petrol,often,92,never,1022,large,1,15,25,13,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",577.42
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,never,168,very frequently,23,extra large,5,23,4,19,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",756.3
obese,female,vegetarian,less frequently,natural gas,private,lpg,sometimes,124,frequently,786,medium,6,24,33,14,Yes,"['Glass', 'Metal']",[],698.38
underweight,female,vegan,less frequently,coal,public,,sometimes,218,frequently,1040,large,5,9,27,7,Yes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",566.8
obese,male,vegetarian,twice a day,wood,private,electric,never,182,rarely,1828,extra large,2,23,21,3,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",467.6
underweight,male,pescatarian,daily,wood,walk/bicycle,,often,171,very frequently,69,medium,1,10,6,3,No,"['Paper', 'Glass', 'Metal']",[],557.6
obese,female,pescatarian,more frequently,wood,walk/bicycle,,often,130,never,23,extra large,2,16,48,13,No,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",412
overweight,female,omnivore,twice a day,natural gas,public,,sometimes,153,very frequently,481,extra large,1,5,13,13,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",765.35
overweight,male,vegetarian,less frequently,electricity,private,diesel,never,281,frequently,8167,small,4,4,18,9,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1843.66
underweight,female,omnivore,less frequently,electricity,walk/bicycle,,sometimes,176,very frequently,59,small,3,14,35,9,Sometimes,['Metal'],"['Stove', 'Grill', 'Airfryer']",762.1
obese,female,vegan,more frequently,natural gas,public,,sometimes,191,never,745,small,5,1,33,0,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],351.35
obese,male,omnivore,more frequently,coal,private,lpg,often,225,never,439,large,2,12,1,2,No,"['Paper', 'Glass', 'Metal']",['Oven'],488.87
obese,male,vegan,less frequently,coal,private,lpg,sometimes,87,rarely,3880,large,3,5,11,7,No,['Plastic'],['Microwave'],980.28
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,sometimes,99,never,24,extra large,6,16,33,18,Yes,"['Glass', 'Metal']",['Oven'],436.4
underweight,male,vegan,twice a day,coal,private,lpg,sometimes,170,very frequently,7771,extra large,1,22,43,21,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1990.49
normal,male,vegan,twice a day,natural gas,public,,sometimes,294,never,1766,small,2,23,31,10,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",454.2
normal,male,vegetarian,daily,electricity,public,,never,180,frequently,1569,extra large,4,21,39,1,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",605.45
underweight,female,vegetarian,twice a day,wood,private,petrol,sometimes,276,frequently,6839,medium,7,3,29,16,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1821.69
normal,male,omnivore,twice a day,natural gas,public,,sometimes,102,never,441,small,1,12,19,24,No,"['Paper', 'Plastic', 'Glass']",[],480.75
obese,male,omnivore,daily,wood,public,,often,72,very frequently,53,extra large,7,11,25,24,No,"['Glass', 'Metal']","['Oven', 'Microwave']",803.85
overweight,female,pescatarian,twice a day,natural gas,public,,never,133,never,1281,extra large,4,10,0,16,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",410.85
underweight,male,vegetarian,daily,wood,walk/bicycle,,never,254,never,50,medium,2,16,41,7,Yes,[],"['Grill', 'Airfryer']",369.9
obese,female,vegetarian,less frequently,electricity,public,,never,237,rarely,174,large,1,18,49,3,Sometimes,['Plastic'],['Stove'],429.4
normal,male,vegan,less frequently,electricity,private,petrol,sometimes,292,very frequently,2402,small,3,24,4,2,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1002.88
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,never,297,very frequently,59,large,5,20,27,8,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",665.7
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,186,very frequently,6287,small,6,13,0,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1944.2
obese,male,omnivore,daily,natural gas,walk/bicycle,,never,192,frequently,39,large,3,23,23,1,Sometimes,"['Plastic', 'Glass']",['Stove'],636.7
overweight,female,vegan,twice a day,natural gas,public,,sometimes,116,very frequently,1159,small,1,6,50,0,Sometimes,"['Plastic', 'Glass']",['Stove'],707.55
overweight,female,vegan,more frequently,electricity,private,lpg,sometimes,92,never,3601,medium,5,0,39,21,Yes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",916.47
obese,male,omnivore,twice a day,wood,public,,sometimes,66,never,1774,large,1,22,44,23,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",593.3
normal,male,pescatarian,more frequently,natural gas,public,,sometimes,134,frequently,562,extra large,5,4,16,5,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",561.5
overweight,female,vegetarian,more frequently,wood,private,diesel,often,146,frequently,2439,small,3,6,11,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],830.17
obese,male,vegan,less frequently,coal,walk/bicycle,,often,125,never,82,extra large,6,9,11,12,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",336
overweight,male,vegan,more frequently,coal,public,,often,177,never,168,extra large,4,15,38,4,Yes,[],"['Oven', 'Grill', 'Airfryer']",409.1
underweight,female,vegetarian,twice a day,wood,private,petrol,sometimes,210,very frequently,160,small,6,10,16,8,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],625.72
obese,male,omnivore,more frequently,wood,walk/bicycle,,never,217,never,3,small,1,6,25,6,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",414.2
underweight,male,pescatarian,more frequently,coal,private,hybrid,sometimes,291,never,1440,medium,5,12,22,7,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",716.5
normal,female,vegan,less frequently,wood,walk/bicycle,,never,158,very frequently,5,extra large,2,16,13,8,Sometimes,"['Paper', 'Plastic']",[],555.3
obese,male,vegan,daily,natural gas,public,,sometimes,92,rarely,503,small,1,6,44,14,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",425.35
overweight,female,pescatarian,less frequently,wood,public,,often,105,rarely,1212,medium,4,4,6,16,Sometimes,"['Paper', 'Plastic']","['Stove', 'Microwave']",394.1
normal,male,pescatarian,daily,coal,private,hybrid,never,106,never,8379,small,3,10,46,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2202.19
normal,female,vegan,more frequently,wood,public,,sometimes,234,frequently,654,extra large,2,3,4,13,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",426.6
underweight,female,vegetarian,twice a day,wood,public,,sometimes,159,very frequently,1768,small,3,9,13,22,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",681.8
overweight,female,pescatarian,more frequently,coal,public,,often,237,very frequently,834,medium,1,23,50,15,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave']",816.4
normal,male,vegan,less frequently,wood,private,hybrid,sometimes,297,very frequently,7572,medium,3,6,47,4,Yes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2230.82
underweight,female,pescatarian,daily,natural gas,public,,never,65,never,770,medium,4,18,23,6,No,['Paper'],"['Grill', 'Airfryer']",418
normal,female,omnivore,twice a day,electricity,walk/bicycle,,sometimes,180,very frequently,85,small,5,6,20,20,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",735.5
normal,female,pescatarian,daily,natural gas,public,,never,169,never,1040,extra large,2,10,17,11,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",413.4
underweight,female,pescatarian,more frequently,natural gas,public,,often,140,very frequently,1715,medium,1,19,0,10,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",702.25
overweight,male,vegan,twice a day,wood,public,,often,231,frequently,839,extra large,6,13,12,5,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",489.55
overweight,male,vegan,less frequently,coal,public,,often,137,never,1856,extra large,4,3,49,1,Sometimes,[],"['Stove', 'Oven', 'Microwave']",494
normal,female,pescatarian,daily,coal,public,,never,236,very frequently,90,extra large,7,4,15,1,Sometimes,['Plastic'],['Oven'],703.1
overweight,male,omnivore,daily,natural gas,walk/bicycle,,never,180,rarely,12,extra large,1,15,18,23,No,"['Paper', 'Plastic']",['Microwave'],527
underweight,male,vegetarian,more frequently,electricity,public,,often,90,very frequently,1486,large,2,0,15,15,Yes,"['Paper', 'Plastic', 'Metal']",[],633.3
obese,male,vegan,less frequently,natural gas,private,electric,never,59,rarely,294,extra large,1,11,18,3,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",342.6
normal,male,vegan,less frequently,wood,public,,sometimes,50,frequently,1563,extra large,4,3,43,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",561.15
overweight,female,pescatarian,more frequently,electricity,public,,never,182,rarely,343,medium,7,11,37,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",451.85
normal,male,vegan,twice a day,electricity,public,,often,155,never,1055,extra large,6,11,34,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",384.75
obese,male,vegetarian,daily,natural gas,walk/bicycle,,never,106,very frequently,84,large,2,5,45,7,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",694.6
underweight,female,omnivore,more frequently,electricity,walk/bicycle,,never,164,frequently,30,extra large,3,12,2,19,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",558.4
obese,male,vegetarian,twice a day,wood,private,hybrid,never,88,rarely,191,small,7,7,10,13,Sometimes,['Plastic'],"['Stove', 'Microwave']",370.91
obese,female,omnivore,more frequently,electricity,private,diesel,never,211,never,6762,small,2,11,50,20,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1666.4
overweight,male,pescatarian,less frequently,electricity,private,lpg,sometimes,271,rarely,7895,large,6,15,43,20,Yes,"['Glass', 'Metal']",['Microwave'],1798.67
overweight,male,vegetarian,more frequently,electricity,public,,often,90,never,1193,small,6,10,12,14,Sometimes,"['Paper', 'Glass', 'Metal']",['Microwave'],336.65
normal,male,vegetarian,twice a day,coal,walk/bicycle,,never,282,never,5,small,5,17,47,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",427.2
overweight,male,pescatarian,less frequently,coal,walk/bicycle,,often,109,rarely,3,medium,2,0,2,19,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",362.9
overweight,male,vegan,less frequently,wood,private,electric,often,291,rarely,4605,extra large,7,4,16,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",608.35
underweight,female,vegetarian,twice a day,wood,walk/bicycle,,never,292,very frequently,82,medium,1,9,9,24,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",596.7
obese,female,vegan,daily,wood,private,lpg,never,83,never,6760,extra large,3,24,25,5,No,['Paper'],['Stove'],1425.46
normal,female,pescatarian,less frequently,natural gas,walk/bicycle,,never,167,frequently,97,small,7,22,26,22,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",580.2
normal,male,vegetarian,more frequently,natural gas,public,,sometimes,221,rarely,1046,small,5,13,48,14,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],523.9
underweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,sometimes,253,never,85,large,3,20,40,2,Sometimes,"['Paper', 'Plastic']","['Stove', 'Microwave']",431.3
underweight,male,vegetarian,less frequently,natural gas,private,petrol,sometimes,247,frequently,4351,medium,1,15,21,0,Sometimes,"['Plastic', 'Glass', 'Metal']",['Microwave'],1316.09
underweight,male,pescatarian,daily,natural gas,private,lpg,often,161,rarely,9111,extra large,2,21,24,12,Sometimes,['Paper'],"['Stove', 'Microwave']",1963.03
obese,female,pescatarian,daily,electricity,private,diesel,never,148,frequently,8233,small,5,0,13,9,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",1856.14
obese,male,omnivore,more frequently,coal,public,,never,240,frequently,563,large,6,12,36,4,Sometimes,"['Paper', 'Plastic', 'Metal']",['Stove'],714.15
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,sometimes,256,rarely,86,large,4,14,47,22,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",638.6
normal,male,pescatarian,daily,natural gas,public,,often,170,rarely,865,large,1,0,15,0,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",412.25
underweight,female,pescatarian,less frequently,coal,private,lpg,never,281,rarely,4459,extra large,1,9,49,17,Yes,"['Paper', 'Glass']",['Oven'],1247.79
underweight,male,omnivore,daily,coal,walk/bicycle,,never,188,rarely,35,medium,3,14,22,24,Yes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",553.3
obese,male,pescatarian,more frequently,electricity,walk/bicycle,,never,192,rarely,77,extra large,4,14,15,18,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave']",404.7
obese,female,pescatarian,daily,electricity,private,petrol,sometimes,257,never,5372,medium,4,9,8,7,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1333.62
obese,female,vegetarian,twice a day,wood,public,,often,70,frequently,161,small,6,2,43,0,No,"['Glass', 'Metal']",['Microwave'],485.55
normal,female,vegan,daily,coal,walk/bicycle,,often,61,very frequently,0,large,2,3,11,13,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",578.6
obese,female,vegan,daily,coal,walk/bicycle,,often,136,rarely,41,medium,5,3,0,21,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",343.1
obese,male,pescatarian,daily,coal,private,hybrid,never,224,frequently,8842,extra large,6,7,19,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2418.72
obese,male,pescatarian,less frequently,coal,walk/bicycle,,never,154,very frequently,81,small,1,15,14,17,Sometimes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",662.9
overweight,male,omnivore,less frequently,natural gas,public,,sometimes,218,very frequently,14,extra large,3,23,41,10,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",863
normal,male,vegetarian,more frequently,wood,public,,often,63,never,1580,medium,3,6,17,11,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",354.8
normal,male,vegan,more frequently,natural gas,walk/bicycle,,never,268,very frequently,88,extra large,5,17,26,9,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",678.8
obese,male,omnivore,twice a day,natural gas,walk/bicycle,,sometimes,85,very frequently,17,large,7,0,3,12,No,"['Paper', 'Glass', 'Metal']",['Stove'],737
underweight,male,omnivore,twice a day,electricity,private,diesel,never,241,frequently,7435,medium,7,18,37,21,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",1942.48
underweight,female,vegan,daily,coal,public,,often,115,never,1610,large,3,3,4,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",335
overweight,female,pescatarian,more frequently,electricity,walk/bicycle,,often,296,very frequently,78,large,4,4,30,17,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",670.6
obese,female,omnivore,less frequently,electricity,walk/bicycle,,never,170,never,85,large,6,15,38,10,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",501.5
obese,female,vegan,twice a day,electricity,private,diesel,often,255,rarely,8772,small,4,5,5,24,No,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",1801.01
overweight,female,vegetarian,less frequently,coal,private,petrol,sometimes,296,frequently,6813,medium,7,3,15,16,Yes,['Plastic'],['Stove'],1834.7
overweight,male,vegan,daily,wood,private,diesel,often,82,very frequently,5863,extra large,7,12,34,22,Sometimes,[],['Oven'],1681.77
normal,female,vegan,twice a day,coal,walk/bicycle,,sometimes,163,rarely,31,extra large,2,9,21,24,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",392.8
normal,male,pescatarian,twice a day,coal,private,electric,never,264,very frequently,3570,small,5,17,28,22,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",915.4
overweight,male,pescatarian,more frequently,coal,private,electric,sometimes,169,very frequently,8533,extra large,2,12,4,17,Yes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1071.55
normal,male,omnivore,more frequently,electricity,walk/bicycle,,often,169,frequently,93,extra large,3,8,43,5,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",638.4
obese,male,vegan,twice a day,electricity,private,petrol,sometimes,145,rarely,8840,small,1,11,42,18,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",2071.28
normal,male,vegan,twice a day,wood,private,petrol,often,132,very frequently,8860,large,3,17,31,23,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2339.32
overweight,female,vegan,less frequently,coal,private,diesel,sometimes,279,frequently,586,small,1,5,15,9,Yes,['Metal'],['Oven'],552.61
obese,male,omnivore,more frequently,coal,private,petrol,sometimes,170,frequently,2834,large,6,4,25,9,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",1198.13
obese,female,vegan,less frequently,natural gas,private,electric,often,182,never,2850,medium,1,9,45,2,No,[],"['Stove', 'Oven']",507.7
underweight,male,vegetarian,twice a day,wood,private,hybrid,sometimes,253,never,7829,extra large,2,6,25,17,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1975.89
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,never,66,frequently,57,small,5,15,29,11,Sometimes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",486.6
obese,male,omnivore,more frequently,wood,public,,never,257,rarely,708,small,7,21,24,0,No,"['Plastic', 'Glass']",['Oven'],536.6
normal,male,pescatarian,daily,natural gas,private,hybrid,sometimes,106,never,2765,medium,6,21,45,24,No,"['Plastic', 'Glass', 'Metal']",['Stove'],1053.25
overweight,male,pescatarian,twice a day,wood,walk/bicycle,,often,79,never,8,large,1,20,16,19,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",318.4
underweight,female,vegetarian,less frequently,wood,walk/bicycle,,never,125,rarely,56,small,5,8,10,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",334.5
normal,female,vegan,daily,wood,walk/bicycle,,never,90,rarely,99,small,3,6,41,12,Sometimes,"['Plastic', 'Glass', 'Metal']",[],349.5
obese,male,pescatarian,daily,wood,private,diesel,sometimes,292,frequently,3730,extra large,1,14,39,1,Yes,"['Paper', 'Plastic']",['Oven'],1151.03
obese,female,pescatarian,less frequently,natural gas,walk/bicycle,,often,266,rarely,41,small,6,18,42,3,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",489.1
overweight,male,vegetarian,more frequently,wood,public,,never,219,rarely,1603,large,6,10,36,9,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",504.55
